timestamp,symbol,clean_text,original_sentiment,nlp_label,nlp_score
2026-06-17 10:25 ET,EOSE,"best stocks to won until 2030 power - , , , which other stocks do you think are worth considering? power and energy could become one of the most important investment themes of the next five years. ai data centers, ev adoption, grid modernization, and",None,neutral,0.7748
2026-06-17 10:25 ET,EOSE,,Bullish,neutral,0.0
2026-06-17 10:25 ET,EOSE,is another be fly to 100 posible,Bullish,neutral,0.8684
2026-06-17 10:25 ET,EOSE,"new production site went live overnight and the stock39s been grinding up all session, now 10.7 off yesterday39s close. not parabolic, just steady. that39s what i want to see. anyone tracking this one? this is what my scanner flagged",None,neutral,0.8799
2026-06-17 10:25 ET,EOSE,we forge ahead close above 62 and will be 75 position sized flnc,Bullish,neutral,0.7522
2026-06-17 10:25 ET,EOSE,damn missing this dip. bought 1000 worth of this morning!!!,Bullish,neutral,0.747
2026-06-17 10:25 ET,EOSE,,Bullish,neutral,0.0
2026-06-17 10:25 ET,EOSE,hwg!!!,Bullish,neutral,0.8715
2026-06-17 10:25 ET,EOSE,volume picking up nicely. set right up. wait til it halts and opens back up at over 8,Bullish,mixed,0.5103
2026-06-17 10:25 ET,FIG,shorts still active on a day with a new 36 pt when its in the 18s honestly they deserve to get in trouble.,Bullish,bearish,0.8983
2026-06-17 10:25 ET,FIG,"short interest , looks like 30, easy money if you pile in ! ill add little more here, but this is team work effort",Bullish,neutral,0.8922
2026-06-17 10:25 ET,FIG,drops 3,None,bearish,0.773
2026-06-17 10:25 ET,FIG,"me too, shorts are covering",Bullish,neutral,0.8378
2026-06-17 10:25 ET,FIG,well i39m back in,Bullish,neutral,0.6678
2026-06-17 10:25 ET,FIG,,Bullish,neutral,0.0
2026-06-17 10:25 ET,FIG,,Bullish,neutral,0.0
2026-06-17 10:25 ET,FIG,rip shorts,Bullish,neutral,0.8217
2026-06-17 10:25 ET,FIG,is short interest 36,Bullish,neutral,0.9191
2026-06-17 10:25 ET,FIG,still down 23,None,bearish,0.8643
2026-06-17 10:25 ET,FRMI,,Bullish,neutral,0.0
2026-06-17 10:25 ET,FRMI,,None,neutral,0.0
2026-06-17 10:25 ET,FRMI,this is how its done 12 went holddddd more,Bullish,neutral,0.91
2026-06-17 10:25 ET,FRMI,slow rise up my boyz!! fuck yeah! geezus feels goid,Bullish,neutral,0.8075
2026-06-17 10:25 ET,FRMI,took a few 11c 821 1.50,None,neutral,0.9345
2026-06-17 10:25 ET,FRMI,in with 1700 shares at 8.47. lets see what happens.,None,neutral,0.943
2026-06-17 10:25 ET,FRMI,keep eyes on is your next runner whales will find this name so attractive very soon 15,Bullish,neutral,0.7753
2026-06-17 10:25 ET,FRMI,watching,None,neutral,0.8859
2026-06-17 10:25 ET,FRMI,fly me to the moon!,Bullish,neutral,0.9084
2026-06-17 10:25 ET,FRMI,10 today!!!!!!,None,neutral,0.8201
2026-06-17 15:59 ET,ARQQ,they just want to trap as many shorts for what i think is a parabolic run later,Bullish,neutral,0.7439
2026-06-17 15:59 ET,ARQQ,"let me guess, u have pumper joealert in here?",None,neutral,0.9243
2026-06-17 15:59 ET,ARQQ,"running hot this session, up 8.7 on volume that39s grinding steady. these vertical moves can extend or snap back with zero warning. watching for any pullback to absorb before it stalls. who else has eyes on this? live tape on the breakout",None,neutral,0.8603
2026-06-17 15:59 ET,ARQQ,100,None,neutral,0.0
2026-06-17 15:59 ET,ARQQ,oncolytics biotech secures new u.s. patent protecting commercial manufacturing of pelareorep into 2044,None,bullish,0.8166
2026-06-17 15:59 ET,ARQQ,sub 22. needs to bounce soon.,None,neutral,0.6369
2026-06-17 15:59 ET,ARQQ,"is a meme. how quickly everyone forgets invested in worked out pretty well for honeywell39s quantinuum raises funds from nvidia, others at 10 billion valuation reuters",None,neutral,0.8575
2026-06-17 15:59 ET,ARQQ,seems to be too many sellers stepping in. well see.,None,neutral,0.501
2026-06-17 15:59 ET,ARQQ,6 million float. 1.7 million shares short 19. potential to squeeze this over 30 if sellers dont step in.,None,bearish,0.9192
2026-06-17 15:59 ET,ARQQ,something crazy going on here. whales moving in. must be news on the way.,Bullish,bearish,0.7017
2026-06-17 15:59 ET,HOOD,bagholders getting out new ones being created,None,neutral,0.8791
2026-06-17 15:59 ET,HOOD,trying some 106 calls,None,neutral,0.9023
2026-06-17 15:59 ET,HOOD,haven39t sold a share -- stay squarely focused on filling that 153.86 gap from october. sell and leave on table,None,neutral,0.7831
2026-06-17 15:59 ET,HOOD,disgusting manipulation. cant ever be happy owning this,None,neutral,0.5722
2026-06-17 15:59 ET,HOOD,"fk robinhood , they sold my puts at 3.30.. puts increases 7x from that point..",Bearish,neutral,0.5141
2026-06-17 15:59 ET,HOOD,exited at 109.5 . i guess smart move,None,neutral,0.8785
2026-06-17 15:59 ET,HOOD,this scum thinks hes smart. the typical loser to chase.,None,neutral,0.807
2026-06-17 15:59 ET,HOOD,jan 28th was the last time it was above the 200ma. today was the first time it crossed upward this year.,Bullish,neutral,0.7937
2026-06-17 15:59 ET,HOOD,pt 115-120 per josh brow half time cnbc show.,Bullish,neutral,0.9484
2026-06-17 15:59 ET,HOOD,i knew it would drop. just didnt have the balls for the 109.29 level breaking,None,bearish,0.8426
2026-06-17 15:59 ET,OCUL,", i have learned through many years not to get excited. this stock never follows through. the news is great, but we could be back in the 8s tomorrow.",None,neutral,0.6516
2026-06-17 15:59 ET,OCUL,"one more thought for all the genius quotbullsquot here none of you even own a considerable amount of stock anyway if today was so excellent- why aren39t shorts covering en masse? 25 million short, right? we should be really nervous about getting burned, right",Bearish,neutral,0.9092
2026-06-17 15:59 ET,OCUL,burning lot of cash.... no pharma buyer... delayed nda...yikes. gl.... dextenza 2.0 lol,None,neutral,0.8948
2026-06-17 15:59 ET,OCUL,im in the green!,None,neutral,0.8837
2026-06-17 15:59 ET,OCUL,smart team smart plan great data superior product,None,bullish,0.7131
2026-06-17 15:59 ET,OCUL,"quotgive fda everything that they are asking for to expedite the reviewquot.. exactly what i want to hear, this will have an efficient review cycle when submitted!",None,neutral,0.7944
2026-06-17 15:59 ET,OCUL,this is gold!!!,Bullish,neutral,0.878
2026-06-17 15:59 ET,OCUL,4q nda submission....already behind and burning cash.... down she goes,None,bearish,0.8027
2026-06-17 15:59 ET,OCUL,what a scam artist.... submitting 4q so they can submit sol-r and not get a crl lol....,None,neutral,0.6127
2026-06-17 15:59 ET,OCUL,"wow, so weird...they start talking and the sp drops. who could39ve seen that coming?",Bearish,neutral,0.6731
2026-06-17 15:59 ET,PDYN,"this is exactly why you buy the low-volume fades. the market wanted definitive contracts, and palladyne just delivered the u.s. army. validating swarmos and the gremlin-x under a competitive dod program proves this isn39t just hype, it39s the future of edge ai and dom",Bullish,neutral,0.8433
2026-06-17 15:59 ET,PDYN,shorts are gonna start getting out - to the moon,Bullish,neutral,0.8102
2026-06-17 15:59 ET,PDYN,im late? bought some today below 7,None,neutral,0.8131
2026-06-17 15:59 ET,PDYN,this 6 stock just became america39s drone supplier i39m buying,None,neutral,0.9452
2026-06-17 15:59 ET,PDYN,hold,Bullish,neutral,0.0
2026-06-17 15:59 ET,PDYN,,Bullish,neutral,0.0
2026-06-17 15:59 ET,PDYN,you know what it is,Bullish,neutral,0.91
2026-06-17 15:59 ET,PDYN,sqeeeeeeeeeze!!!,None,neutral,0.8277
2026-06-17 15:59 ET,PDYN,guys look gonna squeeze hard !,None,mixed,0.4707
2026-06-17 15:59 ET,PDYN,incredible!! gogo !,Bullish,neutral,0.832
2026-06-17 15:59 ET,QURE,the market is making a compelling argument here.,None,bullish,0.5778
2026-06-17 15:59 ET,QURE,shares of jumped 27 after s announcement. amt-130 uses clearpoints smartflow cannula and navigation platform for precise intracerebral delivery.,None,neutral,0.867
2026-06-17 15:59 ET,QURE,,None,neutral,0.0
2026-06-17 15:59 ET,QURE,top gainers pt2,None,neutral,0.8152
2026-06-17 15:59 ET,QURE,fda approval. institutional money created new floor and slow grinding up since then.,None,bullish,0.6381
2026-06-17 15:59 ET,QURE,break 48 and confess 45,None,neutral,0.8783
2026-06-17 15:59 ET,QURE,don39t be the last retard to sell,None,neutral,0.7775
2026-06-17 15:59 ET,QURE,crazy after hours? we will see,None,neutral,0.9231
2026-06-17 15:59 ET,QURE,iva-inventiva global nativ3 phase3 data due 2h2026 - lanifibranor for mash.,None,neutral,0.9037
2026-06-17 15:59 ET,QURE,next up on the radar lrmr.,None,neutral,0.9432
2026-06-17 15:59 ET,RXT,"many traders are watching but seeing only a single 5 gain on the chart. what i see, however, is a stock that has been frustrating both bulls and bears for months. with stocks like this, once short covering begins, the price can move rapidly. the best short squeezes often",None,bearish,0.584
2026-06-17 15:59 ET,RXT,lottery plays high risk high reward year end will tell if these are gold or poo,Bullish,neutral,0.9347
2026-06-17 15:59 ET,RXT,why rackspace rallied today,None,bullish,0.5725
2026-06-17 15:59 ET,RXT,10,Bullish,neutral,0.0
2026-06-17 15:59 ET,RXT,"did the same thing last gap up... sold off hard, but then it ran 80. we39ll see if it runs 80 this time aswell.",None,neutral,0.8244
2026-06-17 15:59 ET,RXT,3rd highest close since 2022,None,neutral,0.7989
2026-06-17 15:59 ET,RXT,,Bullish,neutral,0.0
2026-06-17 15:59 ET,RXT,,Bullish,neutral,0.0
2026-06-17 15:59 ET,RXT,golden cross about to happen on the macd on the 1d chart!! something39s cooking on soul,Bullish,neutral,0.848
2026-06-17 15:59 ET,RXT,can someone if this goes over 8??? please lol i cant watch the stock this week. and yes i wont be back till next monday. i will post my fish i caught so we can all fish everyday and retire early,Bullish,neutral,0.8645
2026-06-17 15:59 ET,ACON,we need a real move hoe come on!,Bullish,neutral,0.8531
2026-06-17 15:59 ET,ACON,"if dips more i39m adding, gap fill order at 2.95-3 maybe",Bullish,bearish,0.8427
2026-06-17 15:59 ET,ACON,someone thinks their presentation will be good. think so too,Bullish,neutral,0.7535
2026-06-17 15:59 ET,ACON,,Bullish,neutral,0.0
2026-06-17 15:59 ET,ACON,patience and execution is a key here!,Bullish,neutral,0.8947
2026-06-17 15:59 ET,ACON,,Bullish,neutral,0.0
2026-06-17 15:59 ET,ACON,unbelievable get us back to over 7 you fucks!,Bullish,neutral,0.6236
2026-06-17 15:59 ET,ACON,very bad management,Bearish,bearish,0.9121
2026-06-17 15:59 ET,ACON,,Bullish,neutral,0.0
2026-06-17 15:59 ET,ACON,"wake me up at 10 come on bitch, make a real move!",Bullish,neutral,0.861
2026-06-17 16:03 ET,ARQQ,,None,neutral,0.0
2026-06-17 16:03 ET,ARQQ,holding 933 shares long on this bad boy. building on,Bullish,neutral,0.7806
2026-06-17 16:03 ET,ARQQ,.,Bullish,neutral,0.0
2026-06-17 16:03 ET,ARQQ,arqq stock on track for a four-month high whats driving the rally?,None,neutral,0.804
2026-06-17 16:03 ET,ARQQ,all 20262027,Bullish,neutral,0.9374
2026-06-17 16:03 ET,ARQQ,next station 30,Bullish,neutral,0.9239
2026-06-17 16:03 ET,ARQQ,bring in the squeeze,None,neutral,0.8572
2026-06-17 16:03 ET,ARQQ,flying in!,None,neutral,0.8752
2026-06-17 16:03 ET,ARQQ,"about to resume uptrend, 22.55 vwap",None,neutral,0.7175
2026-06-17 16:03 ET,ARQQ,shorts doing their best...digging themseves quite a hole.,None,neutral,0.4554
2026-06-17 16:03 ET,HOOD,sold coin to buy bottom during close. price action infers something big is going to happen imo.,Bullish,neutral,0.6932
2026-06-17 16:03 ET,HOOD,"position running strong sitting on big unrealized gains here. im just watching trend and not overthinking it, let it play out.",None,neutral,0.8114
2026-06-17 16:03 ET,HOOD,can literally never hold any of its gains,None,neutral,0.8994
2026-06-17 16:03 ET,HOOD,closing at hod? never. what a joke,None,bearish,0.5939
2026-06-17 16:03 ET,HOOD,you must be talking about the manipulation that ran it to almost 111 today. moron.,None,bearish,0.6623
2026-06-17 16:03 ET,HOOD,110 tomorrow,Bullish,neutral,0.9132
2026-06-17 16:03 ET,PDYN,closed exactly at 6.93,None,neutral,0.79
2026-06-17 16:03 ET,RXT,wealthy wednesday watchlist hot stocks,Bullish,neutral,0.8565
2026-06-17 16:03 ET,RXT,"when we hit 20 next couple weeks , market will figure out that debt not a problem anymore , then fast new leg to 4060 level .",None,neutral,0.848
2026-06-17 16:03 ET,RXT,69 institutional ownership.,Bullish,neutral,0.9487
2026-06-17 16:03 ET,RXT,"ok, ill say it. a negative 80 million in operating income company decides to buy amd processors and the stock goes up. once more, people start hyping it.",None,neutral,0.5306
2026-06-17 16:03 ET,RXT,share price action today smells of disappointment,Bearish,bearish,0.8964
2026-06-17 16:03 ET,RXT,wouldn39t be surprised to see this get absolutely pummeled tomorrow. still love it long term though.,None,neutral,0.8195
2026-06-17 16:03 ET,RXT,in at 6.22. lets go,Bullish,neutral,0.9002
2026-06-17 16:03 ET,RXT,"community update starting june 22, free trade friday will replace free trade monday. as bear tamer trading continues to grow, i want to ensure im providing the highest level of value to the members who support this community. members will now hav",None,neutral,0.7
2026-06-17 16:03 ET,RXT,whoever wanted out appears to be out.,None,neutral,0.8996
2026-06-17 16:03 ET,RXT,"there is a in a bottle saying this reminds him a lot of when he loaded in the 1s!! you decide, im already loaded here and just waiting for the masses to put the puzzle together!! not to mention dont forget about my little buddy load the dips, they are oppo",Bullish,neutral,0.8897
2026-06-17 16:07 ET,HOOD,,None,neutral,0.0
2026-06-17 16:07 ET,HOOD,we spent 5 hours from 105 to hod and they lamb shanked it back to 105 in 45 minutes. disgusting,None,neutral,0.7099
2026-06-17 16:07 ET,HOOD,rug pull no surprise. fomc with commentary about 2 potential rate hikes personally doubt we get anything this year but stay the same and quad witching tommorow. good news as i see it is that we know there are buyers in the 100s and plenty of institutions support pushing u,None,bullish,0.8586
2026-06-17 16:07 ET,HOOD,back to 88 tomorrow,Bearish,neutral,0.8831
2026-06-17 16:07 ET,HOOD,i sold my puts way too fucking early im pissed,Bearish,neutral,0.7801
2026-06-17 16:07 ET,HOOD,107 puts printing! keep dropping,Bearish,neutral,0.8095
2026-06-17 16:07 ET,HOOD,im so fucking pissed,None,neutral,0.6852
2026-06-17 16:07 ET,HOOD,opens north of 110 tomorrow,Bullish,neutral,0.9199
2026-06-17 16:07 ET,HOOD,"showing clear continuation momentum here, with options flow accelerating and calls already printing 500 moves in recent sessions. relative strength over the past couple weeks was the early signal - it was outperforming while broader market rotation was still choppy, wh",None,bullish,0.8869
2026-06-17 16:07 ET,HOOD,let39s see what happens tomorrow. do we go back down or go back up? heads or tails guys?,None,neutral,0.8979
2026-06-17 16:07 ET,QURE,are you not entertained,None,neutral,0.8335
2026-06-17 16:07 ET,RXT,"oh the bastards still short , rxt reducing staff to reduce expenses of 70-80m and to invest that saved money into new amd gpu for governed ai . let39s do a true cvna when cvna has started reducing big debts and we see where they are now. rxt can follow same path which c",None,bullish,0.6007
2026-06-17 16:07 ET,RXT,hes faking news to get more bulls to stuck this scam,None,neutral,0.8189
2026-06-17 16:07 ET,RXT,stock exploded 600 in early 2026 after a 30mw amd ai deal. the real story is sovereign enterprise ai. rxt is building for governments and regulated industries that want powerful ai without surrendering data control to hyperscalers. they deliver unified amd environments w,Bullish,neutral,0.8818
2026-06-17 16:07 ET,RXT,"stocks under 10 to watch wednesday, june 17, 2026 1. rackspace technology nasdaq rxt 5.916.43 2. park ha biological technology 23 range 3. smith micro software nasdaq smsi 11.50 range 4. momentus inc nasdaq mnts",None,neutral,0.9414
2026-06-17 16:07 ET,RXT,"here are the days biggest winners - gain 7.3 to 12.7 intraday close 206 - 21.78 intraday day high 7.16 - 4.5 dows top gainer - nem, aem, au, hl sector gains 49 - aal, dal, ual gains 46",Bullish,bullish,0.7227
2026-06-17 16:07 ET,RXT,i dont see anyone loading a ton of 5 puts what are you talking about ?,None,neutral,0.8122
2026-06-17 16:07 ET,RXT,"rackspace technology, inc. spicytrade - daily stock analysis",None,neutral,0.9271
2026-06-17 16:07 ET,RXT,i am assuming they are laying off most of their private email suppport staff.,None,bearish,0.9578
2026-06-17 16:07 ET,RXT,over 23mm shares sold short.,Bullish,bearish,0.9441
2026-06-17 16:07 ET,RXT,if this went 20 i would order me some rxt sheets for the bed and bang my lady on top of them mfs lol.,Bullish,neutral,0.9093
2026-06-17 16:07 ET,AIBZ,lets gooooo,Bullish,neutral,0.9146
2026-06-17 16:07 ET,AIBZ,"nice report today clarifying the company39s role in the ai boom. calls it a stand-out play. bitzero controls more than 1 gigawatt of secured, low-cost power capacity across four strategic sites in norway, finland and the united states. bitzero connects directly to the",Bullish,neutral,0.8774
2026-06-17 16:07 ET,AIBZ,"juce entered aibz at 8.48 and it39s still running up 2.1 and the position is live. real trades, in real time.",None,neutral,0.8959
2026-06-17 16:07 ET,AIBZ,thoughts on these guys? my dd leads me to believe dilution is incoming but seems like a solid long position.,None,neutral,0.7238
2026-06-17 16:07 ET,AIBZ,"thank you so much for your cash, u beautiful bastards quotthe nordic countries norway, finland, sweden sit on top of an abundance of hydroelectric and nuclear power, in cold climates that dramatically reduce the cooling costs for data centers, with stable g",None,bullish,0.7388
2026-06-17 16:07 ET,AIBZ,gonna look back on a few months and price is 80,None,neutral,0.9135
2026-06-17 16:07 ET,AIBZ,this look like its gonna pull a massive 10x,None,neutral,0.676
2026-06-17 16:07 ET,AIBZ,we39re gaining more watchers i see,Bullish,bullish,0.9191
2026-06-17 16:07 ET,AIBZ,ive seen weaker charts make much bigger moves.,None,bearish,0.841
2026-06-17 16:07 ET,AIBZ,up on low volume down on big volume. still like the story.,Bullish,neutral,0.8783
2026-06-17 16:07 ET,ALBT,"released an update on its ketoair breathalyzer program supporting nevada first responders, noting strong engagement and metabolic",None,bullish,0.9451
2026-06-17 16:07 ET,ALBT,9.75m dollars in feb series 1a and 1b hitting the market..volume slowed considerably the last 2 hours..raged 4am to 7am 11.3m...entire os practically traded.,None,bearish,0.9646
2026-06-17 16:07 ET,ALBT,down 11 in premarket on 11m shares already traded. these vertical fades before the open can reverse hard or keep bleeding through the bell. anyone else watching this one? live premarket tape,None,neutral,0.5543
2026-06-17 16:07 ET,ALBT,,Bullish,neutral,0.0
2026-06-17 16:07 ET,ALBT,,Bullish,neutral,0.0
2026-06-17 16:07 ET,ALBT,"vertical move premarket, 14.7 on nearly 4m shares and no clear read on what39s driving it. these gap-and-gos without a visible catalyst can stall the second real volume hits. watching to see if it holds the 0.37 area or fades back to close. added to my open list http",None,neutral,0.8782
2026-06-17 16:07 ET,ALBT,"thanks for sharing. we want to clarify that authorization does not mean execution. the filing gives the board the option to implement a reverse split if needed in the future, but it does not indicate that one is currently planned. also, the warrants referenced are not new",None,neutral,0.9369
2026-06-17 16:07 ET,ALBT,"held its annual meeting, where shareholders approved a reverse stock split and new warrant issuances.",None,neutral,0.8496
2026-06-17 16:07 ET,ALBT,"avalon globocare is hosting an ask me anything for our investor community. what would you like to know about our ai products, our strategy, or our long-term vision? share your questions through our official investor relations channels. we look forward to the con",None,neutral,0.9055
2026-06-17 16:07 ET,ALBT,"a recent filing reportedly registered the resale of about 19.4 million shares, which could represent a very large increase relative to the existing share count and create substantial selling pressure.",Bullish,bearish,0.6534
2026-06-17 16:07 ET,ALOT,,None,neutral,0.0
2026-06-17 16:07 ET,ALOT,top gainers pt2,None,neutral,0.0
2026-06-17 16:07 ET,ALOT,top gainers pt2,None,neutral,0.0
2026-06-17 16:07 ET,ALOT,this went up alot today. congrats to longs,Bullish,bullish,0.607
2026-06-17 16:07 ET,ALOT,midday top gainers pt2,None,neutral,0.6689
2026-06-17 16:07 ET,ALOT,top gainers pt2,None,neutral,0.0
2026-06-17 16:07 ET,ALOT,lets make some money boys,Bullish,neutral,0.8939
2026-06-17 16:07 ET,ALOT,,Bullish,neutral,0.0
2026-06-17 16:07 ET,ALOT,astronova to be acquired by arcline for 29 per share in cash deal - si,None,neutral,0.9321
2026-06-17 16:07 ET,ALOT,pre-market movers currently higher after earnings - astronova alot up 7.4 - fuelcell fcel up 2.7 - duluth holdings dlth up 2.1 - campbell39s cpb up 2.0 currently also higher - corning glw up 8.5 after amazon amz,None,bullish,0.9396
2026-06-17 16:11 ET,HOOD,a lil birdy told me there setting up an offering right now,None,neutral,0.9094
2026-06-17 16:11 ET,HOOD,sorry you missed the boat you cuck. blocked and reported,None,bearish,0.8926
2026-06-17 16:11 ET,RXT,partnerships. come on man. how many companies have both?,Bullish,neutral,0.9294
2026-06-17 16:11 ET,RXT,just load and dont worry about the price. triple within 6 months. possibly sooner,Bullish,neutral,0.8933
2026-06-17 16:11 ET,RXT,market wants us to believe that this isnt worth 10 already ok bud prob the same ppl who sold micron at 300,None,neutral,0.8582
2026-06-17 16:11 ET,RXT,when 10?,Bullish,neutral,0.8334
2026-06-17 16:11 ET,RXT,now that we have some news about how they will fund this deal we can say before this week it was 80 going to happen to now about 99. i been repeatedly saying we needed news on how they will proceed. more news to come on funding but this is a start. this has a lot more to g,Bullish,neutral,0.799
2026-06-17 16:11 ET,RXT,problem is will it be how it acted for a month and dump to 5.92 to fill the gap or will it go over 7.65,None,neutral,0.6163
2026-06-17 16:11 ET,RXT,yesterdays news about deal was huge. in my opinion is an inflexion point. the agreenent starts with 30mw and much more to come. this deal will translate into a long-term multi-million partnership between rack and amd. stock price will explode at any moment.,Bullish,neutral,0.8509
2026-06-17 16:11 ET,RXT,"the waiting is always the hardest part. you find a company that has been tapped on the shoulder by two large firms to do business with. that says something. i look for opportunities like this. even though and didn39t disclose the value of this deal, it is still",Bullish,neutral,0.8913
2026-06-17 16:11 ET,RXT,buy everything you can at these prices. same with,Bullish,neutral,0.9384
2026-06-17 16:11 ET,RXT,"sleeper, still under the radar.. wont be for long.",Bullish,neutral,0.602
2026-06-18 18:52 ET,ARDX,nice move today on some big volume. obviously because i sold a little this week im still terribly not right sized,None,bearish,0.7697
2026-06-18 18:52 ET,ARDX,how many times have we said is this finally it? is it going up to what most analysts predict or are the evil forces going to drag it down again,None,neutral,0.7773
2026-06-18 18:52 ET,ARDX,checking in. what39s the latest news?,Bullish,neutral,0.9161
2026-06-18 18:52 ET,ARDX,ene,None,neutral,0.0
2026-06-18 18:52 ET,ARDX,killed all of them open 6 puts. lol,None,neutral,0.8039
2026-06-18 18:52 ET,ARDX,is it monday yet?,Bullish,neutral,0.761
2026-06-18 18:52 ET,ARDX,"6? dont go crazy now, ardy",None,neutral,0.8518
2026-06-18 18:52 ET,ARDX,interesting volume on the close,None,neutral,0.8242
2026-06-18 18:52 ET,ARDX,,Bullish,neutral,0.0
2026-06-18 18:52 ET,ARDX,prolonged misery ending ? ?,Bullish,neutral,0.5034
2026-06-18 18:52 ET,BFLY,thats fluffy and pump and dump news imo. watch for a huge correction monday,Bearish,mixed,0.5063
2026-06-18 18:52 ET,BFLY,"in november 2025, butterfly network announced a co-development and licensing agreement with midjourney involving butterflys semiconductor-based ultrasound-on-chip technology. under the agreement, midjourney received an exclusive license to use certain butterfly technologie",Bullish,bullish,0.6582
2026-06-18 18:52 ET,BFLY,health caremedicine may be the biggest benefactor from ai. look for it to become a big theme in the second half. check what ray kurzweil had to say,None,neutral,0.908
2026-06-18 18:52 ET,BFLY,just do your own dd. this is turning into clownville.,Bullish,bearish,0.5828
2026-06-18 18:52 ET,BFLY,just chase everything these days,None,neutral,0.908
2026-06-18 18:52 ET,BFLY,ill hear no crying when shorts get murdered monday after billions of impressions all over social media on this midjourney tech leads to catastrophic amounts of fomo,Bullish,bearish,0.7891
2026-06-18 18:52 ET,BFLY,what are you talking about. isnt making the scanners. they are licensing their technology and selling the chips to midjourney for revenues and royalties. bfly is an fda approved company with their handheld ultrasound probe and the fourth generation chip sched,Bullish,neutral,0.9108
2026-06-18 18:52 ET,BFLY,the market is clearly rewarding strength here.,None,bullish,0.9421
2026-06-18 18:52 ET,BFLY,"so this ran because elon replied cool to a comment about a company that partners with butterfly ? im guessing the memory chip stocks running today also helped . but, if anyone read the ceo of butterfly comments , he has claimed some impossible things. claiming to ha",Bearish,neutral,0.8528
2026-06-18 18:52 ET,BFLY,"thanks, im a long term investor since 2021 with a substantial investment. i know where is headed.",Bullish,neutral,0.7263
2026-06-18 18:52 ET,CAT,coop,Bullish,neutral,0.0
2026-06-18 18:52 ET,CAT,"all these stocks hit new 52 week highs at some point today todays tape delivered a rare macro consensus alignment. this fresh 52-week high list bridges global heavy industry, leading-edge semiconductor tooling, and wall street39s p",None,neutral,0.5453
2026-06-18 18:52 ET,CAT,"wow just wow, raised the dividend too",Bullish,bullish,0.8984
2026-06-18 18:52 ET,CAT,june 18 pl day alerts highlights,None,neutral,0.8363
2026-06-18 18:52 ET,CAT,"multi-sector strength hitting the tape - industrials, semis, banks, and high-beta ai infra all printing new 52-week highs in the same session. thats not isolated momentum thats broad risk-on repricing. - industrial cycle strength tied to infrastructure global cap",None,bullish,0.9154
2026-06-18 18:52 ET,CAT,the greatest stock of all time i am expecting some space machinery to come,Bullish,neutral,0.8294
2026-06-18 18:52 ET,CAT,meow im in the mode!,None,neutral,0.7419
2026-06-18 18:52 ET,CAT,"waiting for the cross , then split around 1000.",Bullish,neutral,0.9346
2026-06-18 18:52 ET,CAT,"cat yeah about 600 points ago, yet the scam market pumps everyday all of these...it hilarious...billions of meme stock now",None,neutral,0.8728
2026-06-18 18:52 ET,CAT,is it just me or iis this overvalued by a lot?,Bearish,neutral,0.8146
2026-06-18 18:52 ET,DIS,sold off at 102.5 break sold off at 103.80 break only runners left,Bullish,neutral,0.9058
2026-06-18 18:52 ET,DIS,,None,neutral,0.0
2026-06-18 18:52 ET,DIS,"just stopped by to see what a loser stock and company looks like. oh, and to make fun of the adult losers who think disney is a great place to vacation.",None,neutral,0.8284
2026-06-18 18:52 ET,DIS,"box office sales in 2026 are running about 15 ahead of last year, and toy story 5 could be one of the summer39s biggest draws. wall street loves to write off theaters, but is flashing a bullish macd cross. riding along too. the big franchises still pull people in.",Bullish,neutral,0.7122
2026-06-18 18:52 ET,DIS,toy story 5,None,neutral,0.9106
2026-06-18 18:52 ET,DIS,"hollywood is looking to toy story 5 as a key driver of what is shaping up to be a strong comeback year for the movie industry. following a string of unexpected box-office successes, domestic ticket sales in 2026 are already running roughly 15 ahead of last year, raising hopes th",None,bullish,0.9458
2026-06-18 18:52 ET,DIS,at least and had a green day! comcast still hitting 13 to 15 year lows.,None,bearish,0.8801
2026-06-18 18:52 ET,DIS,staying at the wilderness lodge. just paid almost 300 dollars for my kid to get dressed up like a princess. parks were all busy. i was like this company must make a killing and im sure the stock price would show that. and yet here i am. what happened here?,None,bearish,0.5999
2026-06-18 18:52 ET,DIS,lower gas certainly good for disney,Bullish,bullish,0.8253
2026-06-18 18:52 ET,DIS,are the results on august 5th? what period do they cover? will wc fifa be included?,None,neutral,0.945
2026-06-18 18:52 ET,HQ,30 to 40.. all the best to holders..,Bullish,neutral,0.8878
2026-06-18 18:52 ET,HQ,,Bullish,neutral,0.0
2026-06-18 18:52 ET,HQ,all the way..no questions asked.. target 30.. 40 is very much possible..,Bullish,neutral,0.9039
2026-06-18 18:52 ET,HQ,lol.,None,neutral,0.0
2026-06-18 18:52 ET,HQ,dont listen to noise.. hold your hq..,Bullish,neutral,0.8853
2026-06-18 18:52 ET,HQ,top gainers pt2,None,neutral,0.0
2026-06-18 18:52 ET,HQ,"quantum software spac, zero revenue, up 48 on hype. the quot2-year pipe lockupquot story appears false 52m insider shares are already cleared to sell per sec filings. be careful.",None,bearish,0.4895
2026-06-18 18:52 ET,HQ,congrt dip buyers.. always take profit,None,neutral,0.9078
2026-06-18 18:52 ET,HQ,they want this at 150 this year,Bullish,neutral,0.8471
2026-06-18 18:52 ET,HQ,hope it spreads to others,Bullish,neutral,0.7807
2026-06-18 18:52 ET,MRNA,"as i have written several times here, needs to offer a real, new investing thesis to its investors. if the stock is held mostly by naive people hoping that novavax would be able to get a free ride betting that the fda would be that insane to self-destroy america39s",None,neutral,0.8141
